pr_number,title,state,merged,draft,created_at,updated_at,closed_at,merged_at,base_sha,head_sha,merge_commit_sha,commits,changed_files,additions,deletions,metadata_notes
1,docs: add navier-stokes research agent architecture,closed,true,false,2026-05-03T22:04:04Z,2026-05-03T22:04:12Z,2026-05-03T22:04:11Z,2026-05-03T22:04:11Z,ff6163919cdb8fc9eefa4c9f872d6d28a5d0b859,e0cf219138f5b024065c88b5219b168f52791691,81bfb24970133b9043a4395e3cf9ffc4b7444739,1,3,590,0,stats from individual PR fetch
2,docs: add advocatus diaboli audit for Taylor-Green validation,closed,true,false,2026-05-03T22:04:19Z,2026-05-03T22:04:25Z,2026-05-03T22:04:25Z,2026-05-03T22:04:25Z,81bfb24970133b9043a4395e3cf9ffc4b7444739,fbc503aa2280ad8b78267f23ce7b3c0baffc8c28,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
3,feat: separate Taylor-Green execution and accuracy status,closed,true,false,2026-05-03T22:25:37Z,2026-05-03T22:32:02Z,2026-05-03T22:32:02Z,2026-05-03T22:32:02Z,72c7d8a5d6785f377ceaf1c84609d44db61dd9a1,e2a9cc1902043f2b3875d509e104e609d70132c6,unknown,2,unknown,unknown,unknown,stats unavailable in bulk metadata
4,docs: add citation metadata,closed,true,false,2026-05-03T23:33:27Z,2026-05-03T23:33:35Z,2026-05-03T23:33:35Z,2026-05-03T23:33:35Z,43b95211cebc8dfd1fc8f7e31f54e1c48f31b589,003c0fa3dceaf2b28134156b8cf9800a21a60a21,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
5,docs: add citation metadata,closed,true,false,2026-05-03T23:33:48Z,2026-05-03T23:34:08Z,2026-05-03T23:34:08Z,2026-05-03T23:34:08Z,bb3afe81d2596f2a3151b2fbb28d174d736eb8e9,2c960d8ac541bed17e4916bf7995756993294ffd,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
6,docs: add MIT license,closed,true,false,2026-05-03T23:38:08Z,2026-05-03T23:39:47Z,2026-05-03T23:39:47Z,2026-05-03T23:39:47Z,0dee448577e094cd71fd39e0c62c136e64541b1a,81f561d4b69b25a7da9a7d5b76bcd6f7863e63ea,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
7,docs: add MIT license,closed,true,false,2026-05-03T23:40:36Z,2026-05-03T23:40:45Z,2026-05-03T23:40:45Z,2026-05-03T23:40:45Z,68af6e2a166ef4c3ed214ffc9f9c576a080893fb,81f561d4b69b25a7da9a7d5b76bcd6f7863e63ea,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
8,Add formal convergence diagnostics and Taylor-Green validation,closed,true,false,2026-05-04T01:54:43Z,2026-05-04T01:58:02Z,2026-05-04T01:54:51Z,2026-05-04T01:54:51Z,d9dede72111c36bc14edfcdfaa6512f280de07a6,afc0e803811a254ab900ac7830da05ad7b795b04,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
9,Add formal convergence diagnostics and Taylor-Green validation,closed,true,false,2026-05-04T01:56:31Z,2026-05-04T01:59:03Z,2026-05-04T01:56:39Z,2026-05-04T01:56:39Z,a4d458815f7d03e17412c05edb2ce6dca8f0de4c,afc0e803811a254ab900ac7830da05ad7b795b04,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
10,docs: update Taylor-Green convergence documentation,closed,true,false,2026-05-04T02:02:08Z,2026-05-04T02:02:43Z,2026-05-04T02:02:43Z,2026-05-04T02:02:43Z,ce880716ce1d71cd1ccf9ab558bc335e58a726e1,3d842ebbf5064882d2548831ccc86e6df4208670,unknown,2,unknown,unknown,unknown,stats unavailable in bulk metadata
11,docs: add scientific validation summary,closed,false,false,2026-05-04T02:11:17Z,2026-05-04T02:12:10Z,2026-05-04T02:12:10Z,,98127055a98d1750cf6d9225e8c2270a69496f16,3d842ebbf5064882d2548831ccc86e6df4208670,unknown,2,unknown,unknown,unknown,closed unmerged
12,docs: add scientific validation summary,closed,true,false,2026-05-04T02:24:58Z,2026-05-04T02:25:28Z,2026-05-04T02:25:28Z,2026-05-04T02:25:28Z,98127055a98d1750cf6d9225e8c2270a69496f16,b8603941d2e6e739b10450f73301980f6202b817,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
13,Add Taylor-Green visual diagnostics,closed,true,false,2026-05-04T02:33:12Z,2026-05-04T02:36:30Z,2026-05-04T02:36:30Z,2026-05-04T02:36:30Z,8d8f217615142b3ad6feb0edbe231cf41bc54133,ab2d26e7c283754748bab79496d2992d8206243f,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
14,Add fail-closed physical diagnostics for validation agents,closed,true,false,2026-05-04T13:23:45Z,2026-05-04T13:26:47Z,2026-05-04T13:23:54Z,2026-05-04T13:23:54Z,0610fafbb5b58d3aa0ca7e3473cf59ea5ac07429,288f6ef5c58f3da73893e70259b26031beda235b,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
15,docs: add kansodata advocatus diaboli agent,closed,true,false,2026-05-04T13:34:33Z,2026-05-04T13:37:01Z,2026-05-04T13:34:51Z,2026-05-04T13:34:51Z,727a458ab445915c198f0956a903641d3e5721aa,331ddf03439f91b17dd3b05d443603a992960f88,unknown,2,unknown,unknown,unknown,stats unavailable in bulk metadata
16,docs: add kansodata advocatus diaboli agent,closed,true,false,2026-05-04T13:35:13Z,2026-05-04T13:35:24Z,2026-05-04T13:35:24Z,2026-05-04T13:35:24Z,4d8192b648550845dd314d26ec0ad6fff2878a9f,dcef2a80eb2ecd0c632ed908f2d4eb97d4c2eae2,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
17,docs: add scientific validation pipeline,closed,true,false,2026-05-04T13:41:45Z,2026-05-04T13:42:09Z,2026-05-04T13:42:09Z,2026-05-04T13:42:09Z,f9515683a607c13d1239295f14ab5bb8e1fbea62,1e2162be23e8303bb08c163484a2b2642355fb21,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
18,docs: add kansodata numerical methods auditor agent,closed,true,false,2026-05-04T18:50:47Z,2026-05-04T19:00:45Z,2026-05-04T19:00:44Z,2026-05-04T19:00:44Z,96ae20ed5e7b6a780ce8c910bbf99b0ce1587529,7532c10d038ec1299f237f8f66f67547ae638217,unknown,3,unknown,unknown,unknown,stats unavailable in bulk metadata
19,feat: add physical decay validation harness,closed,true,false,2026-05-04T19:11:03Z,2026-05-04T19:23:45Z,2026-05-04T19:23:45Z,2026-05-04T19:23:45Z,7c57bcfe4fa31163a7c6b476e8b70c8a9034eeab,37064201f07c7e6014bdf597fbd3261e09db63b4,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
